evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136792,1569136795,1.977304,"['a', 'a']",000_00000.dat,0,3.270570755004883
1,1569136795,1569136799,2.758074,"['c', 'e']",000_00001.dat,0,7.094395637512207
2,1569136799,1569136803,2.509098,"['b', 'b']",000_00002.dat,0,10.635295152664185
3,1569136803,1569136806,2.648816,"['b', 'd']",000_00003.dat,0,14.362687826156616
4,1569136807,1569136811,3.137463,"['e', 'b']",000_00004.dat,0,18.617239952087402
5,1569136811,1569136815,2.837723,"['b', 'e']",000_00005.dat,0,22.3983633518219
6,1569136815,1569136819,3.720141,"['e', 'c']",000_00006.dat,0,27.163980960845947
7,1569136819,1569136824,3.299981,"['b', 'c']",000_00007.dat,0,31.442502975463867
8,1569136824,1569136828,2.933602,"['c', 'e']",000_00008.dat,0,35.41678524017334
9,1569136828,1569136831,2.600176,"['b', 'b']",000_00009.dat,0,39.319571018218994
10,1569136832,1569136838,4.358259,"['b', 'b']",000_00010.dat,0,45.40480422973633
11,1569136838,1569136842,2.776533,"['c', 'b']",000_00011.dat,0,50.002686738967896
12,1569136843,1569136847,3.180775,"['e', 'b']",000_00012.dat,0,55.00324892997742
13,1569136848,1569136851,2.528216,"['b', 'b']",000_00013.dat,0,59.30203437805176
14,1569136852,1569136856,2.866931,"['c', 'e']",000_00014.dat,0,63.98033881187439
15,1569136857,1569136861,2.499555,"['b', 'b']",000_00015.dat,0,68.43448495864868
16,1569136862,1569136866,3.327622,"['c', 'd']",000_00016.dat,0,73.70962715148926
17,1569136867,1569136870,2.148328,"['a', 'e']",000_00017.dat,0,77.79781413078308
18,1569136871,1569136874,1.881458,"['a', 'a']",000_00018.dat,0,81.74632024765015
19,1569136875,1569136878,2.203315,"['a', 'e']",000_00019.dat,0,85.8543610572815
20,1569136879,1569136882,2.030899,"['a', 'a']",000_00020.dat,0,89.90450048446655
